ts_ms,depth,prev_score,alpha_initial,beta_initial,final_score,researches,widened_to_inf
141,5,45,15,75,45,0,0
1641,6,45,15,75,-6,1,0
1989,7,-6,-36,24,-6,0,0
4141,8,-6,-36,24,-33,0,0
18089,9,-33,-63,-3,41,2,0
29990,10,41,11,71,0,0,0
377,5,122,92,152,149,0,0
1632,6,149,119,179,118,1,0
2686,7,118,88,148,93,0,0
11239,8,93,63,123,37,2,0
15446,9,37,7,67,115,2,0
29990,10,115,85,145,0,2,0
342,5,-116,-146,-86,-152,1,0
900,6,-152,-182,-122,-187,1,0
1513,7,-187,-217,-157,-192,0,0
2568,8,-192,-222,-162,-178,1,0
5796,9,-178,-208,-148,-166,0,0
17776,10,-166,-196,-136,-170,0,0
29990,11,-170,-200,-140,0,0,0
456,5,46,16,76,52,0,0
1460,6,52,22,82,16,1,0
2812,7,16,-14,46,7,0,0
10597,8,7,-23,37,-101,2,0
22089,9,-101,-131,-71,97,3,0
29990,10,97,67,127,0,2,0
1062,5,-52,-82,-22,-47,0,0
5134,6,-47,-77,-17,-67,0,0
8645,7,-67,-97,-37,-68,0,0
19750,8,-68,-98,-38,-76,0,0
29990,9,-76,-106,-46,0,0,0
229,5,72,42,102,72,0,0
643,6,72,42,102,33,1,0
1079,7,33,3,63,36,0,0
2085,8,36,6,66,8,0,0
3955,9,8,-22,38,154,3,0
14697,10,154,124,184,1,3,0
29990,11,1,-29,31,0,3,0
286,5,18,-12,48,27,0,0
581,6,27,-3,57,2,0,0
3527,7,2,-28,32,-2,0,0
5608,8,-2,-32,28,-45,1,0
10250,9,-45,-75,-15,-62,0,0
29990,10,-62,-92,-32,0,1,0
179,5,-37,-67,-7,-26,0,0
660,6,-26,-56,4,-66,1,0
1025,7,-66,-96,-36,-51,0,0
3823,8,-51,-81,-21,-127,2,0
9960,9,-127,-157,-97,-41,2,0
22467,10,-41,-71,-11,-128,2,0
29990,11,-128,-158,-98,0,2,0
467,5,36,6,66,22,0,0
1620,6,22,-8,52,-22,1,0
2781,7,-22,-52,8,-35,0,0
10160,8,-35,-65,-5,-108,2,0
29990,9,-108,-138,-78,0,2,0
